Total Population by sex (thousands),,,,,,,,,,,,,,,,,,
ISO 3166-1 numeric code,Location,Sex,Note,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
900,World,Both sexes combined,,  2 536 431,  2 773 020,  3 034 950,  3 339 584,  3 700 437,  4 079 480,  4 458 003,  4 870 922,  5 327 231,  5 744 213,  6 143 494,  6 541 907,  6 956 824,  7 379 797,  7 794 799
900,World,Female,,  1 270 171,  1 387 362,  1 516 763,  1 666 965,  1 845 047,  2 031 814,  2 218 314,  2 422 197,  2 646 336,  2 852 071,  3 050 060,  3 245 422,  3 449 120,  3 659 101,  3 864 825
900,World,Male,,  1 266 260,  1 385 658,  1 518 187,  1 672 619,  1 855 390,  2 047 666,  2 239 689,  2 448 725,  2 680 895,  2 892 142,  3 093 434,  3 296 485,  3 507 704,  3 720 696,  3 929 974
1803,   UN development groups,Both sexes combined,a,,,,,,,,,,,,,,,
1803,   UN development groups,Female,a,,,,,,,,,,,,,,,
1803,   UN development groups,Male,a,,,,,,,,,,,,,,,
901,      More developed regions,Both sexes combined,b,   814 819,   864 430,   916 344,   966 624,  1 008 452,  1 048 416,  1 083 126,  1 114 763,  1 145 508,  1 169 481,  1 188 359,  1 209 215,  1 234 768,  1 256 622,  1 273 304
901,      More developed regions,Female,b,   426 445,   450 778,   476 221,   500 762,   521 542,   541 415,   559 003,   574 684,   589 749,   601 614,   610 962,   621 431,   634 435,   645 069,   652 841
901,      More developed regions,Male,b,   388 374,   413 651,   440 123,   465 862,   486 910,   507 001,   524 123,   540 079,   555 759,   567 868,   577 398,   587 784,   600 332,   611 553,   620 463
902,      Less developed regions,Both sexes combined,c,  1 721 612,  1 908 590,  2 118 605,  2 372 959,  2 691 985,  3 031 064,  3 374 878,  3 756 159,  4 181 723,  4 574 731,  4 955 134,  5 332 692,  5 722 056,  6 123 175,  6 521 494
902,      Less developed regions,Female,c,   843 727,   936 583,  1 040 542,  1 166 203,  1 323 505,  1 490 399,  1 659 312,  1 847 514,  2 056 587,  2 250 458,  2 439 098,  2 623 991,  2 814 685,  3 014 031,  3 211 984
902,      Less developed regions,Male,c,   877 885,   972 007,  1 078 064,  1 206 757,  1 368 480,  1 540 665,  1 715 566,  1 908 645,  2 125 137,  2 324 274,  2 516 036,  2 708 701,  2 907 371,  3 109 143,  3 309 511
941,         Least developed countries,Both sexes combined,d,   195 428,   215 486,   240 518,   270 721,   306 917,   345 243,   390 613,   443 491,   506 276,   579 682,   657 216,   744 191,   836 615,   941 131,  1 057 438
941,         Least developed countries,Female,d,   97 613,   107 789,   120 266,   135 478,   153 573,   172 937,   195 749,   222 115,   253 708,   290 108,   329 412,   373 077,   420 183,   473 207,   531 422
941,         Least developed countries,Male,d,   97 815,   107 697,   120 253,   135 243,   153 344,   172 306,   194 864,   221 376,   252 568,   289 574,   327 804,   371 114,   416 432,   467 924,   526 016
934,"         Less developed regions, excluding least developed countries",Both sexes combined,e,  1 526 184,  1 693 104,  1 878 087,  2 102 238,  2 385 068,  2 685 822,  2 984 265,  3 312 667,  3 675 448,  3 995 050,  4 297 919,  4 588 501,  4 885 441,  5 182 043,  5 464 056
934,"         Less developed regions, excluding least developed countries",Female,e,   746 114,   828 794,   920 276,  1 030 725,  1 169 932,  1 317 462,  1 463 563,  1 625 398,  1 802 879,  1 960 350,  2 109 687,  2 250 914,  2 394 502,  2 540 824,  2 680 562
934,"         Less developed regions, excluding least developed countries",Male,e,   780 071,   864 310,   957 811,  1 071 513,  1 215 136,  1 368 359,  1 520 702,  1 687 269,  1 872 569,  2 034 700,  2 188 232,  2 337 588,  2 490 940,  2 641 219,  2 783 494
948,"      Less developed regions, excluding China",Both sexes combined,,  1 157 420,  1 284 497,  1 444 107,  1 632 169,  1 845 364,  2 083 908,  2 351 776,  2 655 695,  2 978 289,  3 305 985,  3 635 583,  3 971 957,  4 322 553,  4 684 981,  5 050 208
948,"      Less developed regions, excluding China",Female,,   572 297,   635 230,   713 640,   806 355,   911 502,  1 029 308,  1 161 415,  1 311 745,  1 470 626,  1 632 549,  1 796 348,  1 961 718,  2 133 785,  2 313 734,  2 494 530
948,"      Less developed regions, excluding China",Male,,   585 123,   649 267,   730 467,   825 814,   933 862,  1 054 600,  1 190 361,  1 343 950,  1 507 663,  1 673 436,  1 839 235,  2 010 240,  2 188 768,  2 371 247,  2 555 677
